date,year,month,NDVI,MSAVI,MNDWI,BSI,S2_WATER_AREA_KM2,TEMP_C,PRECIP_MM,WIND_MS,SOIL_MOISTURE,JRC_WATER_AREA_KM2,S2_SCENE_COUNT,S2_VALID_PIXEL_COUNT,ERA5_IMAGE_COUNT,JRC_IMAGE_COUNT
2017-01,2017,1,0.06773919871330143,0.052634568378563805,-0.09964488801971334,0.03595721657157602,2683.1537667507073,-3.966603624630316,14.998983713690455,0.6129460385304205,0.25150923806646325,0.0,7,1918219,1,1
2017-02,2017,2,0.05392811308569881,0.0469031116895003,-0.13368444740821805,0.07119510972080483,19075.285276506223,-6.258578262231114,6.847985418797397,1.0473248481215764,0.24667415082770205,1975.021675992741,33,13247860,1,1
2017-03,2017,3,0.08633551820255785,0.06239456872907823,-0.22633664226989306,0.12059463516101428,6613.620473980073,3.034159370994744,13.168169096667022,2.418948925754503,0.17577410928084342,15464.169451290976,26,11801759,1,1
2017-04,2017,4,0.1109916688237715,0.08249641337490324,-0.2573347514372256,0.1265327713868512,8981.115198822634,12.084021954755125,14.526231135712552,0.7513432043267511,0.10236484908516527,16086.94679548259,29,14486223,1,1
2017-05,2017,5,0.11616668629898709,0.08611479666789897,-0.27513031832715945,0.13138168380485354,5900.980629703903,20.72715849691133,16.13629731323787,1.9212427195822506,0.07960676637677837,18835.760999096543,27,10830964,1,1
2017-06,2017,6,0.1289946702581487,0.08983883362037776,-0.2332726090634246,0.09950058484999053,12697.077504138815,25.675135499900787,6.961213236602005,1.2378294732898172,0.06789016374050479,19060.49804970224,42,18677076,1,1
2017-07,2017,7,0.11686262111205532,0.0862037646956256,-0.24901249258919708,0.11184418420480378,11737.556717712265,30.04923821771966,4.866430580280182,2.0295285811485204,0.06401450222786668,19760.59527757414,125,22958391,1,1
2017-08,2017,8,0.10349565586239866,0.08338082485578824,-0.21777766648709979,0.10353144614361615,18634.12538050517,28.149299571518853,1.798174299568849,2.78795867793097,0.06185375154021302,15627.717083704158,206,27522474,1,1
2017-09,2017,9,0.0979419935586837,0.08500104109888158,-0.23942387017307604,0.11109972736285251,14581.550768763113,21.043542475475746,1.112284387099796,2.1215133946545675,0.060984825751004564,14643.2321304606,178,24482385,1,1
2017-10,2017,10,0.09670965214663849,0.08003302081436875,-0.24089885240103415,0.11993443613606546,6381.200251427985,10.293140780801286,25.07367123293814,0.47021484436672145,0.11904303762487295,12734.129114735257,64,12785657,1,1
2017-11,2017,11,0.06647989297103983,0.06847847422666554,-0.17756622149151027,0.08774883588137772,14700.415486811611,4.875494430314938,19.76556572356237,1.3623533028540078,0.15483200828064597,0.0,45,15436660,1,1
2017-12,2017,12,0.10823671781983306,0.07802764017907911,-0.18539232627314495,0.056007708169057716,8942.381533384254,-4.56561903685163,18.335216180906876,1.4340871686782901,0.17126641325262246,0.0,55,6663042,1,1
2018-01,2018,1,0.03225906996177302,0.05428887348334517,-0.10937871529965795,0.0643559358428859,3280.378009809371,-7.351815866395299,15.28309567906605,3.290494258539958,0.22617131065198193,0.0,27,2157225,1,1
2018-02,2018,2,0.08962502214594602,0.07107470488638427,-0.17700369891031792,0.066546495180263,7380.493382791368,-5.424126129696846,23.492397846770515,3.0362594372185447,0.2265702266451613,0.0,95,7033417,1,1
2018-03,2018,3,0.09379859784539114,0.05812889035874844,-0.1610213585297632,0.07422852672493599,2401.8150384043793,2.7184136588686916,34.19532256499228,1.0854673842200022,0.2576251790192701,5999.822503993444,20,2870401,1,1
2018-04,2018,4,0.09885003797361219,0.07956832380460342,-0.24043439499063707,0.11681073743706707,10260.226144512026,11.525117692556654,5.489858715751786,0.8776765869301163,0.10897287774761949,21754.500116556454,60,18974097,1,1
2018-05,2018,5,0.11322735212889379,0.09158462872778249,-0.2335374948457839,0.09969490280595351,12471.206358331725,20.589471428926547,1.393963585738515,1.9838030846307892,0.06588181274705927,16630.34013451179,100,22171338,1,1
